DocNum,Year,Scale,Condition,MiningType,StateCounties,Final,Certified,Status,ModifiedDate,MineId,Latitude,Longitude,LocationAssurance,MineNames,Msha,Companies,Commodities,GeolocatedPointDescription,AvailableGeologicInfo,Remarks,Seams,SceneCount
300435,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:18,15440,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300436,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:19,15441,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300437,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:20,15442,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300438,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:21,15443,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300439,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:22,15444,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300440,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:24,15445,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300441,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:25,15446,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300442,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:26,15447,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300443,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:27,15448,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300444,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:28,15449,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300445,1942.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:29,15450,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300446,1941.0,0.0,,,"VA, NELSON",NO,NO,LEGACY DATA,06/21/2017 04:19:30,15451,37.725841,-79.036947,,PINEY RIVER KAOLIN DEPOSITS,,UNKNOWN,CLAY,,,,VA | UNKNOWN 999,1
300527,,0.0,,,"CT, FAIRFIELD",NO,NO,LEGACY DATA,06/21/2017 04:20:49,15610,41.380008,-73.385557,,STONY HILL CLAY DEPOSIT,,UNKNOWN,CLAY,,,,CT | UNKNOWN 999,1
300588,,0.0,,SURFACE ONLY,"MD, ANNE ARUNDEL",NO,NO,LEGACY DATA,06/21/2017 04:21:44,15685,39.18473,-76.736669,,MINERAL RIDGE PROPERTY,,UNKNOWN,CLAY,,,,MD | UNKNOWN 999,1
300589,,0.0,,SURFACE ONLY,"MD, ANNE ARUNDEL",NO,NO,LEGACY DATA,06/21/2017 04:21:45,15686,39.18473,-76.736669,,O CONNER FIRE CLAY DEPOSITS,,UNKNOWN,CLAY,,,,MD | UNKNOWN 999,1
