DocNum,Year,Scale,Condition,MiningType,StateCounties,Final,Certified,Status,ModifiedDate,MineId,Latitude,Longitude,LocationAssurance,MineNames,Msha,Companies,Commodities,GeolocatedPointDescription,AvailableGeologicInfo,Remarks,Seams,SceneCount
300563,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:23,15651,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300563,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:23,15652,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300564,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:23,15653,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300564,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:23,15654,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300565,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:24,15655,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300565,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:24,15656,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300566,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:25,15657,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300566,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:25,15658,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300567,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:26,15659,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300567,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:26,15660,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300568,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:27,15661,44.331676,-70.755834,,BUMPUS QUARRY,,NORTHERN MINING CORP,FELDSPAR,,,,ME | UNKNOWN 999,1
300568,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:27,15662,44.331676,-70.755834,,BUMPUS QUARRY,,UNITED FELDSPAR,FELDSPAR,,,,ME | UNKNOWN 999,1
300578,1942.0,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:35,15672,44.282787,-70.397223,,BENNETT FELDSPAR QUARRY,,WHITEHALL CO,FELDSPAR,,,,ME | UNKNOWN 999,1
300578,1942.0,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:35,15673,44.282787,-70.397223,,BENNETT FELDSPAR QUARRY,,MAINE FELDSPA,FELDSPAR,,,,ME | UNKNOWN 999,1
300579,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:36,15674,44.282787,-70.397223,,BENNETT QUARRY,,WHITEHALL CO,FELDSPAR,,,,ME | UNKNOWN 999,1
300579,,0.0,,SURFACE ONLY,"ME, OXFORD",NO,NO,LEGACY DATA,06/21/2017 04:21:36,15675,44.282787,-70.397223,,BENNETT QUARRY,,MAINE FELDSPA,FELDSPAR,,,,ME | UNKNOWN 999,1
300622,,0.0,,,"NH, GRAFTON",NO,NO,LEGACY DATA,06/21/2017 04:22:14,15730,43.542509,-71.921112,,TYRRELL,,UNKNOWN,FELDSPAR,,,,NH | UNKNOWN 999,1
344641,1966.0,0.0,,SURFACE ONLY,"NY, ESSEX",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71861,43.91612,-73.455557,,ROSE ROCK QUARRY,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344642,1966.0,0.0,,SURFACE ONLY,"NY, FULTON",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71862,43.190287,-74.249446,,TYRELL QUARRY,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344644,1966.0,0.0,,SURFACE ONLY,"NY, ESSEX",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71864,43.925009,-73.436668,,CROWN POINT SPAR CO QUARRY,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344652,1966.0,0.0,,SURFACE ONLY,"NY, FULTON",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71873,43.172231,-74.261946,,WERNER PROSPECT #3,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344689,1966.0,0.0,,SURFACE ONLY,"NY, ST. LAWRENCE",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71910,44.241676,-75.13778,,FINE DEPOSIT,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN-MINE PLOTTED ON OSWEGATCHIE 15 LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344692,1906.0,0.0,,SURFACE ONLY,"NY, ESSEX",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71913,43.857509,-73.457224,,BARRETT MANUFACTURING CO QUARRY,,BARRETT MANUFACTURING CO,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344699,1966.0,0.0,,SURFACE ONLY,"NY, ESSEX",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71920,43.984731,-73.541113,,SPAR BED HILL QUARRY,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344769,1966.0,0.0,,SURFACE ONLY,"NY, SARATOGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71990,43.236953,-73.891668,,CORINTH FELDSPAR CO PROS,,CORINTH FELDSPAR CO,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344787,1966.0,0.0,,SURFACE ONLY,"NY, SARATOGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72008,43.295842,-73.946113,,OVERLOOK QUARRY,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344792,1906.0,0.0,,SURFACE ONLY,"NY, SARATOGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72013,43.238342,-74.051668,,BATCHELLERVILLE BIG PIT,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344797,1966.0,0.0,,SURFACE ONLY,"NY, SARATOGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72018,43.238342,-74.057779,,BATCHELLERVILLE BIOTITE PIT,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344799,1966.0,0.0,,SURFACE ONLY,"NY, SARATOGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72020,43.238342,-74.063891,,BATCHELLERVILLE GARNET PIT,,UNKNOWN,FELDSPAR,,,STATE PARK DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344811,1966.0,0.0,,SURFACE ONLY,"NY, WASHINGTON",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72032,43.444453,-73.529446,,FORT ANN UPPER QUARRY,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344812,1966.0,0.0,,SURFACE ONLY,"NY, WASHINGTON",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72033,43.444453,-73.523335,,FORT ANN LOWER QUARRY,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
345117,,0.0,,SURFACE ONLY,"VA, BEDFORD",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72470,37.294174,-79.398058,,SMITH CLYDE E PROSPECT,,SMITH CLYDE E,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,VA | UNKNOWN 999,1
345586,1962.0,0.0,,SURFACE ONLY,"NH, CARROLL",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72943,44.255287,-71.029167,,CHANDLER MILLARD,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NH | UNKNOWN 999,1
345590,1962.0,0.0,,SURFACE ONLY,"NH, ROCKINGHAM",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72947,43.009175,-71.220834,,PEGMATITE #1,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NH | UNKNOWN 999,1
345700,1944.0,0.0,,UNDERGROUND ONLY,"NC, MITCHELL",NO,NO,LEGACY DATA,09/13/2022 10:44:21,73057,35.893896,-82.058059,,FELDSPAR MICA,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,1
345789,1949.0,0.0,,SURFACE ONLY,"NC, BUNCOMBE",NO,NO,LEGACY DATA,09/13/2022 10:45:12,73147,35.776396,-82.504726,,ARROWOOD,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,1
347309,1944.0,0.0,,SURFACE ONLY,"NC, MITCHELL",NO,NO,LEGACY DATA,09/13/2022 10:45:12,74717,35.992785,-82.08167,,BUCHANAN ED,,UNKNOWN,FELDSPAR,,,NATIONAL FOREST DOMAIN LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,0
347357,1944.0,0.0,,SURFACE ONLY,"NC, MITCHELL",NO,NO,LEGACY DATA,09/13/2022 10:45:12,74765,35.947229,-82.153059,,HALL JOHN,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,1
348298,1944.0,0.0,,SURFACE ONLY,"NC, AVERY",NO,NO,LEGACY DATA,09/13/2022 10:45:12,75858,35.948896,-81.964726,,BUTLER,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,2
350081,1944.0,0.0,,UNDERGROUND ONLY,"NC, MITCHELL",NO,NO,LEGACY DATA,06/21/2017 17:43:16,78012,35.852507,-82.140559,,CRABTREE #1,,THOMAS & HICKEY,FELDSPAR,,,ALSO KNOWN AS WILDCAT MINE:LOCATION FROM MILS LEGACY GEO POINT DESC: NA,NC | UNKNOWN 999,1
350385,1975.0,0.0,,UNDERGROUND ONLY,"VA, HANOVER",NO,NO,LEGACY DATA,06/21/2017 17:48:12,78409,37.765008,-77.713336,,HANOVER,,FELDSPAR CORP,FELDSPAR,,,,VA | UNKNOWN 999,1
350625,1952.0,0.0,,UNDERGROUND ONLY,"VA, AMELIA",NO,NO,LEGACY DATA,09/13/2022 10:45:12,78770,37.380563,-77.958891,,MARIA,,UNKNOWN,FELDSPAR,,,FORMERLY OLD PINCHBACK MINE LEGACY GEO POINT DESC: NA,VA | UNKNOWN 999,1
350626,1953.0,0.0,,UNDERGROUND ONLY,"VA, BEDFORD",NO,NO,LEGACY DATA,09/13/2022 10:45:12,78771,37.170563,-79.614447,,WHEATLEY,,UNKNOWN,FELDSPAR,,,LOCATION FROM LATITUDE & LONGITUDE ON MILS PROJECT LEGACY GEO POINT DESC: NA,VA | UNKNOWN 999,1
350630,1953.0,0.0,,SURFACE ONLY,"VA, POWHATAN",NO,NO,LEGACY DATA,09/13/2022 10:45:12,78775,37.560285,-77.790558,,HERBB #2,,UNKNOWN,FELDSPAR,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,VA | UNKNOWN 999,1
400277,1890.0,,FAIR,UNDERGROUND ONLY,"CO, CLEAR CREEK/CO, TELLER",NO,NO,LEGACY DATA,07/29/2024 10:24:03,134410,39.708056,-105.439722,HIGH CONFIDENCE,GROVER,,UNKNOWN,"BERYLLIUM, FELDSPAR, MICA",,, SOURCE CODE WAS ENTERED AS GOLDEN C LEGACY GEO POINT DESC: NA,CO | UNKNOWN 999,3
401020,1951.0,0.0,,UNDERGROUND ONLY,"CO, LARIMER",NO,NO,LEGACY DATA,05/10/2019 13:51:25,136737,40.48556,-105.38334,,HIDE AWAY & HIDE ABOVE PEG CLAI,,FRANDSON WILD & WILD,"FELDSPAR, QUARTZ, MICA",,,BERYL IN PEGMATITE-NO MINE-NO MAPS SOURCE CODE WAS ENTERED AS GOLDEN C LEGACY GEO POINT DESC: NA,CO | UNKNOWN 999,1
401020,1951.0,0.0,,UNDERGROUND ONLY,"CO, LARIMER",NO,NO,LEGACY DATA,05/10/2019 13:51:25,136738,40.48556,-105.38334,,HIDE AWAY & HIDE ABOVE PEG CLAI,,DEFENSE MINING,"FELDSPAR, QUARTZ, MICA",,,BERYL IN PEGMATITE-NO MINE-NO MAPS SOURCE CODE WAS ENTERED AS GOLDEN C LEGACY GEO POINT DESC: NA,CO | UNKNOWN 999,1
401728,1945.0,0.0,,UNDERGROUND ONLY,"SD, PENNINGTON",NO,NO,LEGACY DATA,07/02/2019 12:27:39,138136,43.856674,-103.634177,,HUNTER LOUISE PEGMATITE,,S D SCH MINESMAP OWNER,FELDSPAR,,,SURFACE FEATURES & CONTOURS-DUMPS-EXCAVATIONS SOURCE CODE WAS ENTERED AS SOUTH DA LEGACY GEO POINT DESC: NA,SD | UNKNOWN 999,2
401728,1945.0,0.0,,UNDERGROUND ONLY,"SD, PENNINGTON",NO,NO,LEGACY DATA,07/02/2019 12:27:39,138135,43.856674,-103.634177,,HUNTER LOUISE PEGMATITE,,UNKNOWN,FELDSPAR,,,SURFACE FEATURES & CONTOURS-DUMPS-EXCAVATIONS SOURCE CODE WAS ENTERED AS SOUTH DA LEGACY GEO POINT DESC: NA,SD | UNKNOWN 999,2
401731,1943.0,0.0,,SURFACE ONLY,"SD, PENNINGTON",NO,NO,LEGACY DATA,07/03/2019 09:31:34,138143,43.882507,-103.423066,,HUGO PEGMATITE,,S D SCHOOL OF,FELDSPAR,,,SURFACE FEATURES & CONTOURS-GEOL-OUTLINE OF U G WORKS SOURCE CODE WAS ENTERED AS SOUTH DA LEGACY GEO POINT DESC: NA,SD | UNKNOWN 999,2
