DocNum,Year,Scale,Condition,MiningType,StateCounties,Final,Certified,Status,ModifiedDate,MineId,Latitude,Longitude,LocationAssurance,MineNames,Msha,Companies,Commodities,GeolocatedPointDescription,AvailableGeologicInfo,Remarks,Seams,SceneCount
307933,1943.0,0.0,,UNDERGROUND ONLY,"NY, MONROE",NO,NO,LEGACY DATA,06/21/2017 06:18:03,24778,43.005009,-77.809725,,DOLOMITE PRODUCTS GYPSUM,,DOLOMITE PRODUCTS CO INC,GYPSUM,,,,NY | UNKNOWN 999,2
307933,1943.0,0.0,,UNDERGROUND ONLY,"NY, MONROE",NO,NO,LEGACY DATA,06/21/2017 06:18:03,24779,43.005009,-77.809725,,DOLOMITE PRODUCTS GYPSUM,,LYCOMI,GYPSUM,,,,NY | UNKNOWN 999,2
330415,1907.0,0.0,,UNDERGROUND ONLY,"OH, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 12:19:09,52986,41.493064,-82.880838,,CONSUMERS,,CONSUMERS GYPSUM CO,GYPSUM,,,PORTAGE TWP SEC 10:SHAFT LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
330416,1913.0,0.0,,UNDERGROUND ONLY,"OH, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 12:19:09,52987,41.493064,-82.880838,,UPPER,,UNITED STATES GYPSUM CO,GYPSUM,,,PORTAGE TWP SEC 10:ABANDONED 1913:SHAFT LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
330417,1930.0,0.0,,UNDERGROUND ONLY,"OH, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 12:19:10,52988,41.511119,-82.881393,,FISHBACK #2,,CERTAINTEED PRODUCTS CO,GYPSUM,,,PORTAGE TWP SEC 3:SHAFT:SAME MINE AS PORTAGE NO 4 LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,2
330418,1929.0,0.0,,UNDERGROUND ONLY,"OH, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 12:19:11,52989,41.511119,-82.881393,,BANTING #1,,CERTAINTEED PRODUCTS CO,GYPSUM,,,PORTAGE TWP SEC 3:SHAFT:SAME MINE AS PORTAGE NO 3 LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,2
330419,,0.0,,UNDERGROUND ONLY,"OH, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 12:19:12,52990,41.501952,-82.89306,,AMERICAN #1,,CELOTEX CORP,GYPSUM,,,PORTAGE TWP SECS 3 4 & 10:OA2:SHAFT:SHEET NO 2 SHOWING NO 2 VEIN LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,3
330424,1917.0,0.0,,UNDERGROUND ONLY,"OH, ERIE",NO,NO,LEGACY DATA,06/21/2017 12:19:17,52995,41.390286,-82.830004,,KELLY GYPSUM,,KELLY PLASTER CO,GYPSUM,,,MARGARETTA TWP SEC 3:SLOPE OR SHAFT LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,2
344622,1929.0,0.0,,SURFACE ONLY,"NY, CAYUGA",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71842,42.865009,-76.701669,,CAYUGA JUNCTION QUARRY,,UNKNOWN,GYPSUM,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
344626,1919.0,0.0,,SURFACE ONLY,"NY, ERIE",NO,NO,LEGACY DATA,09/13/2022 10:44:21,71846,43.030009,-78.483892,,UNNAMED MILL,,UNKNOWN,GYPSUM,,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,NY | UNKNOWN 999,1
