DocNum,Year,Scale,Condition,MiningType,StateCounties,Final,Certified,Status,ModifiedDate,MineId,Latitude,Longitude,LocationAssurance,MineNames,Msha,Companies,Commodities,GeolocatedPointDescription,AvailableGeologicInfo,Remarks,Seams,SceneCount
300475,,0.0,,COMBINED SURFACE & UNDERGROUND,"VA, GILES",NO,NO,LEGACY DATA,06/21/2017 04:20:01,15526,37.363063,-80.672503,,KIMBALLTON LIMESTONE,,STANDARD LIME & CEMENT CO,LIMESTONE,,,,VA | UNKNOWN 999,1
300476,1956.0,0.0,,UNDERGROUND ONLY,"VA, SCOTT",NO,NO,LEGACY DATA,06/21/2017 04:20:02,15527,36.72834,-82.769448,,SUNBRIGHT LIMESTONE,,FOOTE MINERAL CO,LIMESTONE,,,,VA | UNKNOWN 999,1
300506,1932.0,100.0,,UNDERGROUND ONLY,"OH, LAWRENCE",NO,NO,LEGACY DATA,05/10/2019 13:51:25,15574,38.51473,-82.65167,,ALPHA PORT CEM SHAFT #1,,ALPHA PORTLAND CEMENT CO,LIMESTONE,,"DRILL HOLES,OIL/GAS WELLS",,,2
300512,,0.0,,,"GA, RANDOLPH",NO,NO,LEGACY DATA,06/21/2017 04:20:36,15582,31.888062,-84.779726,,WADE C E PROPERTY,,UNKNOWN,LIMESTONE,,,,GA | UNKNOWN 999,1
300900,,0.0,,SURFACE ONLY,"NY, ST. LAWRENCE",NO,NO,LEGACY DATA,06/21/2017 04:26:17,16123,44.49640214,-75.06895228,LOW CONFIDENCE,SULLIVAN DOLOMITE PROPERTY,,UNKNOWN,LIMESTONE,CENTER POINT OF LARGE AREA,,,NY | UNKNOWN 999,1
303491,1911.0,0.0,,SURFACE ONLY,"PA, LAWRENCE",NO,NO,LEGACY DATA,02/11/2015 00:00:00,19410,40.980564,-80.518059,MEDIUM CONFIDENCE,BESSEMER LIMESTONE QUARRIES,,BESSEMER LIMESTONE CO,LIMESTONE,,,"CENTRAL LOCATION GIVEN

DRILL HOLES LEGACY GEO POINT DESC: NA",PA | UNKNOWN 999,1
303491,1911.0,0.0,,SURFACE ONLY,"PA, LAWRENCE",NO,NO,LEGACY DATA,02/11/2015 00:00:00,19411,40.980564,-80.518059,MEDIUM CONFIDENCE,BESSEMER LIMESTONE QUARRIES,,UNKNOWN,LIMESTONE,,,"CENTRAL LOCATION GIVEN

DRILL HOLES LEGACY GEO POINT DESC: NA",PA | UNKNOWN 999,1
304272,1941.0,0.0,,,"OH, SUMMIT",NO,NO,LEGACY DATA,06/21/2017 05:19:13,20322,41.12597862,-81.53216688,LOW CONFIDENCE,LIMESTONE PLANT,,PITTSBURGH PLATE GLASS CO,LIMESTONE,CENTER POINT OF LARGE AREA,,,OH | UNKNOWN 999,1
307992,1957.0,0.0,,UNDERGROUND ONLY,"WV, PRESTON",NO,NO,LEGACY DATA,05/10/2019 13:51:25,24847,39.35695,-79.68834,,MANHEIM,,ALPHA PORTLAND CEMENT CO,LIMESTONE,,,,WV | UNKNOWN 999,1
308380,,0.0,,,"PA, CUMBERLAND",NO,NO,LEGACY DATA,06/21/2017 06:25:17,25337,40.035286,-77.297225,,PINE GROVE FURNACE BANKS & LIMES,,UNKNOWN,LIMESTONE,,,,PA | UNKNOWN 999,1
314146,1963.0,0.0,,UNDERGROUND ONLY,"WV, HARRISON",NO,NO,LEGACY DATA,06/21/2017 07:52:30,32565,39.264174,-80.495837,,HARROLD LIMESTONE #1,,PAUL HARROLD,LIMESTONE,,,,WV | UNKNOWN 999,1
315774,1969.0,0.0,,UNDERGROUND ONLY,"WV, HARRISON",NO,NO,LEGACY DATA,06/21/2017 08:18:42,34626,39.264174,-80.490003,,PAUL HARROLD #2,,PAUL HARROLD,LIMESTONE,,,,WV | UNKNOWN 999,1
321545,1936.0,0.0,,SURFACE ONLY,"OH, MAHONING",NO,NO,LEGACY DATA,06/21/2017 09:51:50,41751,41.007508,-80.524448,,LOWELLVILLE LIMESTONE QUARRY,,CARBON LIMESTONE CO,LIMESTONE,,,POLAND TWP:ABANDONED 1936:QUARRY LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
324109,1974.0,0.0,,UNDERGROUND ONLY,"WV, PRESTON",NO,NO,LEGACY DATA,06/21/2017 10:35:22,44967,39.343341,-79.677225,,MANHEIM LIMESTONE,,MANHEIM STONE INC,LIMESTONE,,,INSPECTORS REPORT LOCATES NEAR ROWLESBURG LEGACY GEO POINT DESC: NA,WV | UNKNOWN 999,2
325040,1966.0,0.0,,UNDERGROUND ONLY,"PA, BUTLER",NO,NO,LEGACY DATA,06/21/2017 10:50:44,46040,40.789452,-79.696114,,BUFFALO CREEK,,UNITED STATES STEEL MICHIGAN LIMESTONE DV,LIMESTONE,,,NORTHWEST SECTION OF MINE ONLY LEGACY GEO POINT DESC: NA,PA | UNKNOWN 999,1
326785,1957.0,0.0,,SURFACE ONLY,"OH, MUSKINGUM",NO,NO,LEGACY DATA,06/21/2017 11:19:07,48385,39.854452,-82.122226,,FRAZIER LIMESTONE,,COLUMBIA SOUTHERN CHEMICAL CORP,LIMESTONE,,,NEWTON TWP SEC 18 SE QTR SEC 19 NE QTR:MUM90:ABANDONED 1957:QUARRY LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
330413,1970.0,0.0,,UNDERGROUND ONLY,"OH, PREBLE",NO,NO,LEGACY DATA,06/21/2017 12:19:07,52984,39.861119,-84.556671,,LEWISBURG LIMESTONE,,MARBLE CLIFF QUARRIES CO,LIMESTONE,,,HARRISON SECS 20 21 28 & 29:PE1:ABANDONED 1970 LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,16
330552,1913.0,0.0,,UNDERGROUND ONLY,"OH, LAWRENCE",NO,NO,LEGACY DATA,06/21/2017 12:21:18,53130,38.523619,-82.657504,,IRONTON PORTLAND LIMESTONE,,IRONTON PORTLAND CEMENT CO,LIMESTONE,,,UPPER TWP SEC 26:ABANDONED 1913:DRIFT:ELEV 645 FT:VANPORT LIMESTONE LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
330753,1941.0,0.0,,UNDERGROUND ONLY,"OH, LAWRENCE",NO,NO,LEGACY DATA,06/21/2017 12:24:30,53370,38.67223,-82.655282,,OHIO CALCIUM,,OHIO CALCIUM CO,LIMESTONE,,,ELIZABETH TWP SEC 4:LE137:ABANDONED 1941:DRIFT:ELEV 713 FT LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
330758,1954.0,0.0,,UNDERGROUND ONLY,"OH, LAWRENCE",NO,NO,LEGACY DATA,06/21/2017 12:24:35,53377,38.676396,-82.672504,,SUPERIOR LIMESTONE,,NEW YORK COAL SALES,LIMESTONE,,,ELIZABETH TWP SECS 4 5 9 DECATUR TWP SECS 28 29 32 33:LE70:DRIFT LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,3
330831,1909.0,0.0,,UNDERGROUND ONLY,"OH, LAWRENCE",NO,NO,LEGACY DATA,06/21/2017 12:25:45,53465,38.83473,-82.630282,,YORK PORTLAND CEMENT #1 & 2,,YORK PORTLAND CEMENT CO,LIMESTONE,,,WASHINGTON TWP SEC 3:ABANDONED 1909:DRIFT:ONE MINE IN VANPORT LIMESTON LEGACY GEO POINT DESC: NA,OH | UNKNOWN 999,1
