DocNum,Year,Scale,Condition,MiningType,StateCounties,Final,Certified,Status,ModifiedDate,MineId,Latitude,Longitude,LocationAssurance,MineNames,Msha,Companies,Commodities,GeolocatedPointDescription,AvailableGeologicInfo,Remarks,Seams,SceneCount
324547,1974,0.0,,SURFACE ONLY,"MI, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 10:42:53,45509,43.073064,-86.238339,,SAG,,CONSTRUCTION AGGREGATES CORP,SAND,,,19-008N-016W-17 & 18 LEGACY GEO POINT DESC: NA,MI | UNKNOWN 999,2
324548,1957,0.0,,SURFACE ONLY,"MI, OTTAWA",NO,NO,LEGACY DATA,06/21/2017 10:42:54,45510,43.010008,-86.22695,,ROSY MOUND,,CONSTRUCTION AGGREGATES CORP,SAND,,,19-007N-016W-4 & 5 LEGACY GEO POINT DESC: NA,MI | UNKNOWN 999,1
345522,1976,0.0,,SURFACE ONLY,"TN, CARROLL",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72879,35.848896,-88.478339,,SAND PIT,,UNKNOWN,"GRAVEL, SAND",,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,TN | UNKNOWN 999,1
345601,1976,0.0,,SURFACE ONLY,"TN, COFFEE",NO,NO,LEGACY DATA,09/13/2022 10:44:21,72958,35.480562,-86.123616,,GRAVEL PIT,,UNKNOWN,"GRAVEL, SAND",,,PRIVATE DOMAIN LEGACY GEO POINT DESC: NA,TN | UNKNOWN 999,1
354487,1949,0.0,,UNDERGROUND ONLY,"WI, PIERCE",NO,NO,LEGACY DATA,06/21/2017 18:54:49,83429,44.559175,-92.313896,,MAIDEN ROCK PLANT,,NATIONAL MINERALS CORP,SANDSTONE,,,SHOWS PROTION OF SURFACE & UNDREGROUND:COMPANY ALSO KNOWN AS MAIDEN RO LEGACY GEO POINT DESC: NA,WI | UNKNOWN 999,1
370088,1966,0.0,,SURFACE ONLY,"WV, GRANT",NO,NO,LEGACY DATA,06/21/2017 23:15:02,101607,39.193897,-79.158892,,FAIRFAX SAND & CRUSHED STONE QUA,,FAIRFAX SAND & CRUSHED STONE CO,SAND,,,UNION DIST-PERMIT NO Q-46-LOWER KEYSER FORMATION LEGACY GEO POINT DESC: NA,WV | UNKNOWN 999,1
379995,1991,0.0,,SURFACE ONLY,"PA, BUCKS",NO,NO,LEGACY DATA,06/22/2017 01:57:43,113983,40.179453,-74.762779,,PENNSBURY SAND & GRAVEL,,G R O W S INC,"GRAVEL, SAND",,,GEOLOGICAL RECLAMATION MAP LEGACY GEO POINT DESC: NA,PA | UNKNOWN 999,21
383455,1945,0.0,,SURFACE ONLY,"WV, HARRISON",NO,NO,LEGACY DATA,06/22/2017 02:52:45,118429,39.250841,-80.363892,,BECKER SAND & GRAVEL,,BECKER COUNTY SAND & GRAVEL CO,"GRAVEL, SAND",,,SCRUB RUN CLARK DISTRICT LEGACY GEO POINT DESC: NA,WV | UNKNOWN 999,1
385508,1953,0.0,,SURFACE ONLY,"OH, SCIOTO",NO,NO,LEGACY DATA,06/22/2017 03:26:08,120768,38.926674,-82.822782,,WARREN GRAVEL & THOMPSON SAND,,GENERAL REFRACTORIES CO,"GRAVEL, SAND",,,"CROSS REFERENCE NO. SO-30.  MADISON TOWNSHIP, SECTION 11, T4N-R20W LEGACY GEO POINT DESC: NA",OH | UNKNOWN 999,1
399376,2015,200.0,GOOD,UNDERGROUND ONLY,"PA, INDIANA",YES,YES,LEGACY DATA,08/03/2018 11:41:29,200132,40.59303,-78.97878,HIGH CONFIDENCE,SPRUCE,00-00000,PENN RUN QUARRY,SANDSTONE,NORTHERN EXTENT OF MINE,"COMMODITY ELEVATION,COMMODITY OUTCROP,DRILL HOLES,MINE WATER,OIL/GAS WELLS","APPROXIMATE VISIBLE NORTHWEST MOST AREA OF MINING LOCATION FROM TOPOGRAPHY, ROADS, PADEP DIGITIZED MINED AREAS & 2013 AERIAL PHOTOGRAPH",,3
